epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9325,0.84622,2.6885,0.01721,0.74118,0.59271,0.58527,0.43073,1.02732,3.078,0.02266,0.000645161,0.000645161,0.000645161
2,65.02,1.02413,1.01162,0.01926,0.69906,0.73429,0.61513,0.304,1.39203,1.27828,0.03456,0.00129884,0.00129884,0.00129884
3,79.324,1.11691,0.80442,0.02243,0.56223,0.43769,0.47654,0.26776,1.64555,1.5669,0.04355,0.00193932,0.00193932,0.00193932
4,92.0029,1.08537,0.75936,0.02155,0.55975,0.6079,0.61066,0.37409,1.54345,1.15917,0.03973,0.0019406,0.0019406,0.0019406
5,104.845,1.07161,0.72662,0.02033,0.753,0.64864,0.68203,0.4093,1.54663,1.24026,0.03931,0.0019208,0.0019208,0.0019208
6,118.305,1.15002,0.74823,0.02194,0.58546,0.50225,0.51681,0.21393,1.52229,1.85752,0.03743,0.001901,0.001901,0.001901
7,131.935,1.0707,0.64485,0.02091,0.78695,0.70821,0.73965,0.45,1.14984,0.79543,0.02722,0.0018812,0.0018812,0.0018812
8,144.984,0.99666,0.55626,0.01977,0.8224,0.73556,0.77822,0.50265,1.10962,0.76751,0.02495,0.0018614,0.0018614,0.0018614
9,158.103,0.9705,0.56398,0.01678,0.52051,0.62006,0.60813,0.36744,1.3233,1.26002,0.02845,0.0018416,0.0018416,0.0018416
10,171.008,0.92039,0.54692,0.0157,0.67289,0.7538,0.77484,0.53111,0.95859,0.87027,0.01994,0.0018218,0.0018218,0.0018218
11,184.079,0.86436,0.47349,0.01711,0.79855,0.72036,0.77187,0.52383,1.04978,0.68564,0.01951,0.001802,0.001802,0.001802
12,197.187,0.90349,0.59837,0.01625,0.69218,0.65957,0.69533,0.48172,1.06672,0.86537,0.02049,0.0017822,0.0017822,0.0017822
13,210.141,0.94032,0.51986,0.01638,0.55063,0.66261,0.56202,0.38356,1.12419,1.37855,0.02171,0.0017624,0.0017624,0.0017624
14,222.983,0.89116,0.51748,0.01562,0.85848,0.68223,0.79311,0.52764,1.03842,0.66084,0.02255,0.0017426,0.0017426,0.0017426
15,235.828,0.91225,0.50368,0.01587,0.83553,0.68389,0.78194,0.52496,0.91569,0.53837,0.01704,0.0017228,0.0017228,0.0017228
